AY220023.1,Alexandromys_oeconomus_(Microtus)
AF157926.1,Ammospermophilus_harrisii
U46174.1,Ammospermophilus_interpres
KX278553.1,Ammospermophilus_leucurus
AJ389528.1,Aplodontia_rufa
AY338816.1,Arborimus_albipes
KY753947.1,Arborimus_longicaudus
AY338825.1,Arborimus_pomo
MZ056880.1,Baiomys_brunneus
AF548478.1,Baiomys_musculus
KU299005.1,Baiomys_taylori
AF157887.1,Callospermophilus_lateralis_(Spermophilus)
AF157946.1,Callospermophilus_madrensis
AF157916.1,Callospermophilus_saturatus
DQ224409.1,Casiomys_alfaroi_(Handleyomys)
KF658343.1,Casiomys_chapmani_(Handleyomis)
KF658387.1,Casiomys_guerrerensis_(Handleyomys)
KF658408.1,Casiomys_melanotis_(Handleyomys)
KP778253.1,Casiomys_rhabdops_(Handleyomys)
EU579491.1,Casiomys_rostratus_(Handleyomys)
EU579494.1,Casiomys_saturatior_(Handleyomys)
KY311838.1,Castor_canadensis
AY926399.1,Chaetodipus_arenarius
AY926396.1,Chaetodipus_artus
AY926393.1,Chaetodipus_baileyi
AY926401.1,Chaetodipus_californicus
AY926392.1,Chaetodipus_eremicus
AY926402.1,Chaetodipus_fallax
AY926387.1,Chaetodipus_formosus
AY926394.1,Chaetodipus_goldmani
AF172832.1,Chaetodipus_hispidus
AY926389.1,Chaetodipus_intermedius
AY926390.1,Chaetodipus_nelsoni
AY926388.1,Chaetodipus_penicillatus
AY926397.1,Chaetodipus_rudinoris
GQ241434.1,Chaetodipus_siccus_(C._arenarius_subsp.)
KM980438.1,Chaetodipus_spinatus
AY309423.1,Clethrionomys_californicus
AY309432.1,Clethrionomys_gapperi
AB031581.1,Clethrionomys_rutilus
KC463863.1,Coendou_mexicanus
AF302171.1,Cratogeomys_castanops
AY649457.1,Cratogeomys_fulvescens
AF302165.1,Cratogeomys_fumosus
AF302176.1,Cratogeomys_goldmani
AF302157.1,Cratogeomys_merriami
AY649447.1,Cratogeomys_perotensis
AY545539.1,Cratogeomys_planiceps
NC079967.1,Cuniculus_paca
AF157923.1,Cynomys_gunnisoni
AF157838.1,Cynomys_leucurus
JQ885588.1,Cynomys_ludovicianus
AF157841.1,Cynomys_mexicanus
AF157922.1,Cynomys_parvidens
PX095438.1,Dasyprocta_punctata
