test,Partition,site (codon) in partition,site (codon) in full sequence (no gaps),Comparison,result / metrics,result / interpretation,,test,Partition,Comparison,result / metrics,result / interpretation
CFEL (site-wise differences),1,112,,Mouse vs PHEV,"pval = 0.002, dS (background) 4.058 dN (mouse) 0 dN (PHEV) 0.824",this site is under more NEGATIVE selection in the mouse relative to PHEV,,RELAX (intesification or relaxation of selection pressure differences),2,Mouse vs PHEV,pval = 0.010 intensification (K = 1.89),this part of the Spike gene is under INTENSIFIED selection in Mouse compared to the homologous region in PHEV
CFEL (site-wise differences),1,170,,Mouse vs PHEV,"pval = 0.001, dS (background) 6.629 dN (mouse) 0.244 dN (PHEV) 2.720",this site is under more NEGATIVE selection in the mouse relative to PHEV,,RELAX (intesification or relaxation of selection pressure differences),5,Mouse vs PHEV,pval = 0.009 relaxation (K = 0.25),this part of the Spike gene is under RELAXED selection in Mouse compared to the homologous region in PHEV
CFEL (site-wise differences),2,240,,Mouse vs ECOV,"pval = 0.002, dS (background) 0 dN (mouse) 0.062 dN (ECOV) 2.133",this site is under more NEGATIVE selection in the mouse relative to ECOV,,,,,,
CFEL (site-wise differences),2,12,,Mouse vs PHEV,"pval = 0.002, dS (background) 1.3 dN (mouse) 0 dN (PHEV) 0.889",this site is under more NEGATIVE selection in the mouse relative to PHEV,,test,Partition,Comparison,result / metrics,result / interpretation
CFEL (site-wise differences),2,42,,Mouse vs PHEV,"pval = 0.004, dS (background) 0 dN (mouse) 0 dN (PHEV) 0.821",this site is under more NEGATIVE selection in the mouse relative to PHEV,,BPH (gene-wide selection differences comparing phenotypes),5,Mouse vs PHEV,pval 3.978484208744248e-12,Selection detected on the Mouse branches is indeed associated with that trait
CFEL (site-wise differences),2,84,,Mouse vs PHEV,"pval = 0.004, dS (background) 0.499 dN (mouse) 0.063 dN (PHEV) 1.101",this site is under more NEGATIVE selection in the mouse relative to PHEV,,,,,,
CFEL (site-wise differences),2,89,,Mouse vs PHEV,"pval = 0.001, dS (background) 0.166 dN (mouse) 0 dN (PHEV) 0.810",this site is under more NEGATIVE selection in the mouse relative to PHEV,,,,,,
CFEL (site-wise differences),2,127,,Mouse vs PHEV,"pval = 0.00, dS (background) 1.10 dN (mouse) 0.060 dN (PHEV) 1.665",this site is under more NEGATIVE selection in the mouse relative to PHEV,,,,,,
CFEL (site-wise differences),2,185,,Mouse vs PHEV,"pval = 0.00, dS (background) 0 dN (mouse) 0 dN (PHEV) 1.139",this site is under more NEGATIVE selection in the mouse relative to PHEV,,,,,,
CFEL (site-wise differences),3,101,,Mouse vs PHEV,"pval = 0.001, dS (background) 0.976 dN (mouse) 0 dN (PHEV) 0.948",this site is under more NEGATIVE selection in the mouse relative to PHEV,,,,,,
CFEL (site-wise differences),3,200,,Mouse vs PHEV,"pval = 0.00, dS (background) 0 dN (mouse) 0 dN (PHEV) 0.946",this site is under more NEGATIVE selection in the mouse relative to PHEV,,,,,,
CFEL (site-wise differences),3,272,,Mouse vs PHEV,"pval = 0.001, dS (background) 0 dN (mouse) 0 dN (PHEV) 0.899",this site is under more NEGATIVE selection in the mouse relative to PHEV,,,,,,
CFEL (site-wise differences),4,249,,Mouse vs ECOV,"pval = 0.00, dS (background) 1.307 dN (mouse) 0 dN (ECOV) 5.538",this site is under more NEGATIVE selection in the mouse relative to ECOV,,,,,,
CFEL (site-wise differences),5,126,,Mouse vs PHEV,"pval = 0.002, dS (background) 0 dN (mouse) 13.086 dN (PHEV) 0",this site is under more POSITIVE selection in the mouse relative to PHEV,,,,,,
CFEL (site-wise differences),5,219,,Mouse vs PHEV,"pval = 0.001, dS (background) 0.492 dN (mouse) 0 dN (PHEV) 1.301",this site is under more NEGATIVE selection in the mouse relative to PHEV,,,,,,
